productId,제목,가격,개수,용량(ml),타겟,URL,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%)
82951042424,니치향수 유쏘풀 베리섹시  10대 20대여성향수,58000,1,50,여성,https://smartstore.naver.com/main/products/5406548744,4.85,1377.0,79.0,47.0
85636508362, 이솝 테싯 오 드 퍼퓸  향수 선물포장,97900,1,50,공용,https://smartstore.naver.com/main/products/8092008039,4.89,37.0,73.0,49.0
86932186166, 블루 드 샤넬 오드 빠르펭 퍼퓸 향수,135800,1,50,남성,https://smartstore.naver.com/main/products/9387685843,4.9,31.0,78.0,68.0
84473670328, 톰포드 네롤리 포르토피노 오 드 퍼퓸,259000,1,30,공용,https://smartstore.naver.com/main/products/6929170006,4.94,18.0,84.0,56.0
80993658959,지미추 향수 블라썸 오드퍼퓸 EDP,33800,1,40,여성,https://smartstore.naver.com/main/products/3449141863,4.71,1704.0,63.0,57.0
88459306950,밤쉘 퓨어 오일 퍼퓸 블렌디크,8400,1,1,공용,https://smartstore.naver.com/main/products/10914800915,4.91,46.0,79.0,74.0
88758994887, 샤넬 넘버5 NO5 오드빠르펭 여성향수,133900,1,35,여성,https://smartstore.naver.com/main/products/11214484556,4.89,44.0,82.0,64.0
88101362995,끌로에 향수세트 오드퍼퓸 EDP +바디로션 100ml,87900,1,50,여성,https://smartstore.naver.com/main/products/10556857512,4.83,120.0,81.0,55.0
83835515621, 딥디크 오데썽 오드뚜왈렛,124000,1,50,공용,https://smartstore.naver.com/main/products/6291013132,4.91,184.0,75.0,50.0
89070677010,바이레도 발다프리크 오 드 퍼퓸,151250,1,50,공용,https://smartstore.naver.com/main/products/11526166604,4.95,21.0,77.0,58.0
85078055385,마크제이콥스 레인 오드뚜왈렛,349000,1,100,공용,https://smartstore.naver.com/main/products/7533555063,4.88,60.0,85.0,47.0
85520514137, 이솝 휠 오 드 퍼퓸 향수  선물포장,97900,1,50,공용,https://smartstore.naver.com/main/products/7976013814,4.78,36.0,70.0,64.0
84691959499, 니치향수 블랑쉬 라튤립  세트,29700,3,30,여성,https://smartstore.naver.com/main/products/7147459177,4.86,3608.0,70.0,50.0
85976031525, SW19 미드나잇 오 드 퍼퓸 midnight  향수,67800,1,50,공용,https://smartstore.naver.com/main/products/8431531202,4.56,36.0,70.0,50.0
84483918625,롤리타렘피카 구형 오드퍼퓸 EDP,114900,1,100,여성,https://smartstore.naver.com/main/products/6939418303,4.61,364.0,70.0,55.0
83984585679, 메종마르지엘라 레플리카 재즈클럽 오 드 뚜왈렛,69000,1,30,공용,https://smartstore.naver.com/main/products/6440085346,4.94,48.0,90.0,69.0
80842862500,존바바토스 향수 아티산 블루 오드뚜왈렛 EDT,51500,1,125,남성,https://smartstore.naver.com/main/products/3328537885,4.81,398.0,70.0,52.0
84086970831,아카시아 향수 한테라 니치 오드 퍼퓸,15000,1,30,여성,https://smartstore.naver.com/main/products/6542470498,4.63,230.0,61.0,57.0
88102262613, 미스디올 오드퍼퓸 미니어처향수,13000,1,5,여성,https://smartstore.naver.com/main/products/10557757130,4.74,53.0,61.0,59.0
87293213055,인써티 오드퍼퓸 대용량 니치향수  오래가는 살냄새 비누 베이비파우더 과일 딥로즈,12900,1,100,여성,https://smartstore.naver.com/main/products/9748710782,4.75,288.0,66.0,56.0
89177597156,(국내백화점) 비비앙 월넛크릭그린 오드퍼퓸,85900,1,50,여성,https://smartstore.naver.com/main/products/11633086711,4.84,19.0,85.0,58.0
88284257784,안나수이 라비드보헴 EDT,35000,1,30,여성,https://smartstore.naver.com/main/products/10739751862,4.84,115.0,71.0,59.0
86303511816,끌로에 향수 노마드 오드퍼퓸 EDP,99500,1,75,여성,https://smartstore.naver.com/main/products/8759011483,4.82,134.0,77.0,65.0
87491909151, 로이비 오드퍼퓸 롤온 7. 3종 택1,27550,1,5,여성,https://smartstore.naver.com/main/products/9947406878,4.78,404.0,71.0,56.0
89244232646,디올자도르향수 디올자도르퍼퓸도 오드퍼퓸,169200,1,100,여성,https://smartstore.naver.com/main/products/11699722179,4.75,4.0,50.0,75.0
84052736593,몽블랑 향수 스타워커 맨 오드뚜왈렛 EDT,39400,1,75,남성,https://smartstore.naver.com/main/products/6508236260,4.88,496.0,73.0,52.0
87739229317, 샤넬 가브리엘 샤넬 에쌍스 오 드 빠르펭 / 선물포장,135900,1,35,여성,https://smartstore.naver.com/main/products/10194725856,4.63,8.0,63.0,75.0
89105427096,톰포드 블랙 오키드 우먼 오드퍼퓸,170800,1,100,여성,https://smartstore.naver.com/main/products/11560916690,5.0,6.0,50.0,50.0
84456860287, 톰포드 화이트 스웨이드 오드퍼퓸,249000,1,30,여성,https://smartstore.naver.com/main/products/6912359965,5.0,60.0,80.0,57.0
87469542235,존바바토스 향수 아티산 블랙 오드뚜왈렛 EDT,51500,1,125,남성,https://smartstore.naver.com/main/products/9925039962,4.83,118.0,69.0,53.0
10090393351,버버리 향수 위크앤드 포맨 오드뚜왈렛 EDT  남성향수,43500,1,100,남성,https://smartstore.naver.com/main/products/447327939,4.75,444.0,65.0,51.0
82924510372,떼시스 아카시아 오드퍼퓸,10000,1,30,여성,https://smartstore.naver.com/main/products/5380017253,4.59,462.0,54.0,56.0
81617213661,크리스찬디올 미스디올 블루밍 부케미니어처,17000,1,5,여성,https://smartstore.naver.com/main/products/4072693050,4.72,180.0,63.0,51.0
85335051770,조르지오아르마니 뷰티 아르마니 프리베 베르 말라키트 오드퍼퓸 EDP  손석구향수,539000,1,100,여성,https://smartstore.naver.com/main/products/7790551448,,,,
88367736460,버버리 브릿 쉬어 버버리 향수 EDT,34900,1,30,여성,https://smartstore.naver.com/main/products/10823230447,4.85,40.0,58.0,63.0
87898306305,프레데릭말 포트레이트 오브 어 레이디 오드퍼퓸,129900,1,10,여성,https://smartstore.naver.com/main/products/10353801832,4.67,15.0,54.0,60.0
81346412762,나르시소 로드리게즈 포힘 블루 느와르 오드뚜왈렛 EDT,77000,1,100,남성,https://smartstore.naver.com/main/products/3801894654,4.76,415.0,64.0,55.0
89129392501,제니퍼로페즈 향수 글로우바이제이로 EDT  백화점용 손예진향수 비누향,33000,1,50,여성,https://smartstore.naver.com/main/products/11584882095,4.67,6.0,67.0,50.0
87989766451,샤넬 알뤼르 옴므 스포츠 오 익스트림 향수  국내백화점 선물포장 당일발송,154900,1,50,남성,https://smartstore.naver.com/main/products/10445261322,4.89,101.0,82.0,66.0
84435599176,필로소피 향수 어메이징 그레이스 EDT,39000,1,60,여성,https://smartstore.naver.com/main/products/6891098854,4.78,427.0,67.0,56.0
82086212795,존바바토스 아티산 오드뚜왈렛 EDT,51500,1,125,남성,https://smartstore.naver.com/main/products/4541689487,4.79,4894.0,64.0,54.0
83836836788,랑방 향수 모던 프린세스 오드퍼퓸 EDP,39800,1,60,여성,https://smartstore.naver.com/main/products/6292334299,4.82,383.0,69.0,49.0
86576284861,랄프로렌 폴로 랄프 EDT,56000,1,30,남성,https://smartstore.naver.com/main/products/9031784538,5.0,1.0,100.0,100.0
84107728331,조르지오 아르마니 아쿠아 디 지오 옴므 오드뚜왈렛 EDT,97400,1,100,남성,https://smartstore.naver.com/main/products/6563227998,4.83,167.0,70.0,53.0
89243655540,디올 소바쥬 오 드 뚜왈렛,122800,1,100,남성,https://smartstore.naver.com/main/products/11699145073,5.0,9.0,56.0,67.0
86740161789,클린 향수 웜 코튼 EDP,37900,1,60,공용,https://smartstore.naver.com/main/products/9195661466,4.89,312.0,76.0,55.0
88259045322,블랑쉬 베이비파우더 비누향 향수 살냄새 승무원 시트러스 니치 향수 오드퍼퓸,25800,1,35,여성,https://smartstore.naver.com/main/products/10714539400,4.83,70.0,80.0,65.0
89045588115,딥디크 오르페옹 딥티크 향수  리미티드에디션,160000,1,30,공용,https://smartstore.naver.com/main/products/11501077750,5.0,5.0,80.0,40.0
89123197782,딥디크 오르페옹 EDP 오드 퍼퓸,158470,1,75,공용,https://smartstore.naver.com/main/products/11578687376,5.0,7.0,100.0,86.0
85686195669, 베르사체 에로스 맨 EDT,58500,1,100,남성,https://smartstore.naver.com/main/products/8141695346,4.87,160.0,79.0,62.0
83239489120,클린 리저브 블렌드 레인 오드퍼퓸 +향수공병 (정식매장),51900,1,50,공용,https://smartstore.naver.com/main/products/5694991162,4.95,240.0,75.0,50.0
80528191748,제니퍼로페즈 향수 글로우바이제이로 오드뚜왈렛 EDT,26900,1,30,여성,https://smartstore.naver.com/main/products/3030447642,4.74,6313.0,60.0,58.0
88123679917,불가리 옴니아 크리스탈린 오드뚜왈렛 EDT,156900,1,100,여성,https://smartstore.naver.com/main/products/10579174327,4.91,34.0,74.0,65.0
82654058223,구찌 향수 블룸 오드퍼퓸 EDP,138900,1,100,여성,https://smartstore.naver.com/main/products/5109536177,4.84,528.0,70.0,54.0
84734651228,에르메스 떼르 데르메스 오지브레 오드퍼퓸 EDP 12. (스프레이 타입),37000,1,5,남성,https://smartstore.naver.com/main/products/7190150906,4.8,54.0,58.0,52.0
87731218444,탬버린즈 에그 퍼퓸 레이트어텀,45800,1,14,공용,https://smartstore.naver.com/main/products/10186715033,4.88,223.0,82.0,45.0
83738333159, 이솝 테싯 오드퍼퓸,97000,1,50,공용,https://smartstore.naver.com/main/products/6193833582,4.86,320.0,75.0,51.0
82229804411,버버리 향수 클래식 런던 우먼 오드퍼퓸 EDP,52500,1,100,여성,https://smartstore.naver.com/main/products/4685283693,4.75,320.0,70.0,56.0
85225885025,파코라반 원밀리언 오드뚜왈렛 EDT,116400,1,100,남성,https://smartstore.naver.com/main/products/7681384703,4.91,127.0,81.0,63.0
83432362556,프리지아 오드코롱,137750,1,50,여성,https://smartstore.naver.com/main/products/5887863142,4.81,1289.0,68.0,53.0
87194714295,알파무드 여자가 좋아하는 남자향수 리치앤위스키,39800,1,50,남성,https://smartstore.naver.com/main/products/9650212025,4.61,4422.0,56.0,48.0
87925098321,디올 그리 디올 오드퍼퓸 7.,42000,1,5,여성,https://smartstore.naver.com/main/products/10380593600,4.81,94.0,70.0,55.0
