productId,제목,가격,개수,용량(ml),타겟,URL
83835515621, 딥디크 오데썽 오드뚜왈렛,124000,1,50,공용,https://smartstore.naver.com/main/products/6291013132
89070677010,바이레도 발다프리크 오 드 퍼퓸,151250,1,50,공용,https://smartstore.naver.com/main/products/11526166604
85078055385,마크제이콥스 레인 오드뚜왈렛,349000,1,100,공용,https://smartstore.naver.com/main/products/7533555063
85520514137, 이솝 휠 오 드 퍼퓸 향수  선물포장,97900,1,50,공용,https://smartstore.naver.com/main/products/7976013814
84691959499, 니치향수 블랑쉬 라튤립  세트,29700,3,30,여성,https://smartstore.naver.com/main/products/7147459177
85976031525, SW19 미드나잇 오 드 퍼퓸 midnight  향수,67800,1,50,공용,https://smartstore.naver.com/main/products/8431531202
84483918625,롤리타렘피카 구형 오드퍼퓸 EDP,114900,1,100,여성,https://smartstore.naver.com/main/products/6939418303
83984585679, 메종마르지엘라 레플리카 재즈클럽 오 드 뚜왈렛,69000,1,30,공용,https://smartstore.naver.com/main/products/6440085346
80842862500,존바바토스 향수 아티산 블루 오드뚜왈렛 EDT,51500,1,125,남성,https://smartstore.naver.com/main/products/3328537885
84086970831,아카시아 향수 한테라 니치 오드 퍼퓸,15000,1,30,여성,https://smartstore.naver.com/main/products/6542470498
88102262613, 미스디올 오드퍼퓸 미니어처향수,13000,1,5,여성,https://smartstore.naver.com/main/products/10557757130
87293213055,인써티 오드퍼퓸 대용량 니치향수  오래가는 살냄새 비누 베이비파우더 과일 딥로즈,12900,1,100,여성,https://smartstore.naver.com/main/products/9748710782
89177597156,(국내백화점) 비비앙 월넛크릭그린 오드퍼퓸,85900,1,50,여성,https://smartstore.naver.com/main/products/11633086711
88284257784,안나수이 라비드보헴 EDT,35000,1,30,여성,https://smartstore.naver.com/main/products/10739751862
86303511816,끌로에 향수 노마드 오드퍼퓸 EDP,99500,1,75,여성,https://smartstore.naver.com/main/products/8759011483
87491909151, 로이비 오드퍼퓸 롤온 7. 3종 택1,27550,1,5,여성,https://smartstore.naver.com/main/products/9947406878
89244232646,디올자도르향수 디올자도르퍼퓸도 오드퍼퓸,169200,1,100,여성,https://smartstore.naver.com/main/products/11699722179
84052736593,몽블랑 향수 스타워커 맨 오드뚜왈렛 EDT,39400,1,75,남성,https://smartstore.naver.com/main/products/6508236260
87739229317, 샤넬 가브리엘 샤넬 에쌍스 오 드 빠르펭 / 선물포장,135900,1,35,여성,https://smartstore.naver.com/main/products/10194725856
89105427096,톰포드 블랙 오키드 우먼 오드퍼퓸,170800,1,100,여성,https://smartstore.naver.com/main/products/11560916690
84456860287, 톰포드 화이트 스웨이드 오드퍼퓸,249000,1,30,여성,https://smartstore.naver.com/main/products/6912359965
87469542235,존바바토스 향수 아티산 블랙 오드뚜왈렛 EDT,51500,1,125,남성,https://smartstore.naver.com/main/products/9925039962
10090393351,버버리 향수 위크앤드 포맨 오드뚜왈렛 EDT  남성향수,43500,1,100,남성,https://smartstore.naver.com/main/products/447327939
82924510372,떼시스 아카시아 오드퍼퓸,10000,1,30,여성,https://smartstore.naver.com/main/products/5380017253
81617213661,크리스찬디올 미스디올 블루밍 부케미니어처,17000,1,5,여성,https://smartstore.naver.com/main/products/4072693050
85335051770,조르지오아르마니 뷰티 아르마니 프리베 베르 말라키트 오드퍼퓸 EDP  손석구향수,539000,1,100,여성,https://smartstore.naver.com/main/products/7790551448
88367736460,버버리 브릿 쉬어 버버리 향수 EDT,34900,1,30,여성,https://smartstore.naver.com/main/products/10823230447
87898306305,프레데릭말 포트레이트 오브 어 레이디 오드퍼퓸,129900,1,10,여성,https://smartstore.naver.com/main/products/10353801832
81346412762,나르시소 로드리게즈 포힘 블루 느와르 오드뚜왈렛 EDT,77000,1,100,남성,https://smartstore.naver.com/main/products/3801894654
89129392501,제니퍼로페즈 향수 글로우바이제이로 EDT  백화점용 손예진향수 비누향,33000,1,50,여성,https://smartstore.naver.com/main/products/11584882095
87989766451,샤넬 알뤼르 옴므 스포츠 오 익스트림 향수  국내백화점 선물포장 당일발송,154900,1,50,남성,https://smartstore.naver.com/main/products/10445261322
84435599176,필로소피 향수 어메이징 그레이스 EDT,39000,1,60,여성,https://smartstore.naver.com/main/products/6891098854
