개수,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%),총 용량,타겟_공용,타겟_남성,100ml당 가격
1,5.0,5,60,60,75,1.0,0.0,252000
1,4.98,60,89,87,50,1.0,0.0,356000
1,5.0,1,100,100,50,0.0,0.0,517080
2,4.73,672,62,55,60,1.0,0.0,24833
1,4.82,1147,68,49,125,0.0,1.0,40400
1,4.92,13,85,62,35,0.0,0.0,757142
1,5.0,17,95,89,50,0.0,1.0,238000
1,4.8,41,71,49,100,0.0,0.0,195800
2,4.86,36,73,53,60,1.0,0.0,40000
1,4.79,7251,68,52,10,1.0,0.0,109000
